,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,airline_sentiment
135,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 22:36,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
136,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 20:52,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
137,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 19:43,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
138,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 19:38,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
139,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 18:54,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
140,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 18:12,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
141,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 16:42,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
142,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 16:42,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
143,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 16:23,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
144,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,23/07/18 15:54,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
